Road Number,Class,Name,From (m),To (m),Length (m),Deport,Deport Code,EE,EE Code,CE,CE Code,Province,Prov Code
B0142,B,Hakmana - Meella - Talahaganwaduwa,0,7255,7255,Welewatta,03211,Matara,0321,Matara,032,Southern Province,03
B0142,B,Hakmana - Meella - Talahaganwaduwa,7255,11110,3855,Tangalle,03311,Tangalle,0331,Hambantota,033,Southern Province,03
B0143,B,Halpatota - Kurundugahahetekma,0,15820,15820,Baddegama,03111,Galle,0311,Galle,031,Southern Province,03
B0144,B,Halwatura Estate Road,0,1010,1010,Kalawellawa,01333,Horana,0133,Kalutara,013,Western Province,01
B0145,B,Hanwella Junction Road,0,850,850,Kaluaggala,01123,Avissawella,0112,Colombo,011,Western Province,01
B0146,B,Hanwella - Pugoda - Weke - Urapola,0,230,230,Kaluaggala,01123,Avissawella,0112,Colombo,011,Western Province,01
B0146,B,Hanwella - Pugoda - Weke - Urapola,230,24385,24155,Pugoda,01233,Nittambuwa,0123,Gampaha,012,Western Province,01
B0147,B,Haputale - Dambetenne,0,9040,9040,Ella,08111,Bandarawela,0811,Badulla,081,UVA Province,08
B0148,B,Harangala - Kalapitiya - Kumbaloluwa,0,10660,10660,Harangala,02321,Norwood,0232,Nuwara Eliya,023,Central Province,02
B0148,B,Harangala - Kalapitiya - Kumbaloluwa,10660,16700,6040,Ramboda,02312,Nuwara Eliya,0231,Nuwara Eliya,023,Central Province,02
B0149,B,Hatton - Maskeliya - Dalhousie,0,12021,12021,Norwood,02325,Norwood,0232,Nuwara Eliya,023,Central Province,02
B0149,B,Hatton - Maskeliya - Dalhousie,12021,31760,19739,Maskeliya,02323,Norwood,0232,Nuwara Eliya,023,Central Province,02
B0150,B,Hedeniya - Pujapitiya,0,7570,7570,Palipana,02113,Kandy,0211,Kandy,021,Central Province,02
B0151,B,Hendala - Hunupitiya,0,3755,3755,Wattala,01224,Negambo,0122,Gampaha,012,Western Province,01
B0152,B,Mattakkuliya Uswetakeiyawa Pinwattha,0,7435,7435,Wattala,01224,Negambo,0122,Gampaha,012,Western Province,01
B0153,B,Hikkaduwa - Baddegama - Nilhena,0,15115,15115,Baddegama,03111,Galle,0311,Galle,031,Southern Province,03
B0154,B,Hindagala - Naranwita - Gampola,0,13040,13040,Kadugannawa,02132,Kadugannawa,0213,Kandy,021,Central Province,02
B0155,B,Hingurakgoda - Yoda Ela,0,5370,5370,Minneriya,07223,Habarana,0722,Polonnaruwa,072,North Central Province,07
B0156,B,Hiniduma - Opatha - Pitabeddera,0,24970,24970,Malgalla,03123,Hiniduma,0312,Galle,031,Southern Province,03
B0156,B,Hiniduma - Opatha - Pitabeddera,24970,30450,5480,Indikatudeniya,03222,Deniyaya,0322,Matara,032,Southern Province,03
B0157,B,Horana - Anguruwatota - Aluthgama,0,20995,20995,Madurawala,01331,Horana,0133,Kalutara,013,Western Province,01
B0157,B,Horana - Anguruwatota - Aluthgama,20995,27000,6005,Kalutara,01312,Kalutara,0131,Kalutara,013,Western Province,01
B0157,B,Horana - Anguruwatota - Aluthgama,27000,32000,5000,Bellana,01321,Agalawatta,0132,Kalutara,013,Western Province,01
B0157,B,Horana - Anguruwatota - Aluthgama,32000,48670,16670,Horawala,01322,Agalawatta,0132,Kalutara,013,Western Province,01
B0157,B,Horana - Anguruwatota - Aluthgama,48670,53780,5110,Naboda,01313,Kalutara,0131,Kalutara,013,Western Province,01
B0158,B,Horawela - Pelawatte - Pitigala,0,20790,20790,Horawala,01322,Agalawatta,0132,Kalutara,013,Western Province,01
B0158,B,Horawela - Pelawatte - Pitigala,20790,25650,4860,Thalgaswala,03121,Hiniduma,0312,Galle,031,Southern Province,03
B0159,B,Ibbagamuwa - Kumbukgete - Madagalla,0,15980,15980,Kiribamuna,06113,Kurunegala,0611,Kurunegala,061,North Western Province,06
B0159,B,Ibbagamuwa - Kumbukgete - Madagalla,15980,34715,18735,Koonwewa,06124,Maho,0612,Kurunegala,061,North Western Province,06
B0160,B,Idangoda - Ayagama,0,13600,13600,Epitawala,09111,Ratnapura,0911,Ratnapura,091,Sabaragamuwa Province,09
B0161,B,Imbulgoda - Weliweriya,0,4455,4455,Kadawatha,01212,Gampaha,0121,Gampaha,012,Western Province,01
B0162,B,Inamaluwa - Sigiriya,0,8865,8865,Inamaluwa,02223,Nalanda,0222,Matale,022,Central Province,02
B0163,B,Ingiriya - Halwatura ,0,2980,2980,Ingiriya,01332,Horana,0133,Kalutara,013,Western Province,01
B0164,B,Jaffna Junction - Sri Maha Bodhi,0,1500,1500,Mankadawala,07111,Anuradhapura,0711,Anuradhapura,071,North Central Province,07
B0165,B,Kachcheri Beach Fort Road,0,3460,3460,Jaffna,04112,Jaffna,0411,Jaffna,041,Northern Province,04
B0166,B,Kadahapola - Rambawewa,0,18900,18900,Nakkawatta,06134,Kuliyapitiya,0613,Kurunegala,061,North Western Province,06
B0167,B,Kadawalagedara - Vitikuliya,0,14000,14000,Dunupathanga,06123,Maho,0612,Kurunegala,061,North Western Province,06
B0168,B,Kadawata - Ragama - Welisara,0,3000,3000,Kadawatha,01212,Gampaha,0121,Gampaha,012,Western Province,01
B0168,B,Kadawata - Ragama - Welisara,3000,7940,4940,Ja-ela,01221,Negambo,0122,Gampaha,012,Western Province,01
B0169,B,Kadawatha - Mawaramandiya,0,3500,3500,Kadawatha,01212,Gampaha,0121,Gampaha,012,Western Province,01
B0170,B,Kadduwan - Mallakam - Chankanai,0,11315,11315,Changani,04111,Jaffna,0411,Jaffna,041,Northern Province,04
